statinfo,unit,currency\time	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 	1979Q4 	1979Q3 	1979Q2 	1979Q1 	1978Q4 	1978Q3 	1978Q2 	1978Q1 	1977Q4 	1977Q3 	1977Q2 	1977Q1 	1976Q4 	1976Q3 	1976Q2 	1976Q1 	1975Q4 	1975Q3 	1975Q2 	1975Q1 	1974Q4 	1974Q3 	1974Q2 	1974Q1 	1973Q4 	1973Q3 	1973Q2 	1973Q1 	1972Q4 	1972Q3 	1972Q2 	1972Q1 	1971Q4 	1971Q3 	1971Q2 	1971Q1 
AVG,NAC,RSD	117.7220 	117.9654 	118.2272 	118.3549 	118.1386 	118.1712 	118.4251 	119.1062 	119.7569 	122.8565 	123.8771 	123.2639 	123.2945 	123.0234 	122.8697 	120.8471 	120.2073 	120.4441 	121.4980 	120.3057 	117.3672 	115.5768 	115.7469 	114.3277 	114.1826 	112.1531 	111.6966 	113.4502 	116.9489 	113.7331 	108.1070 	102.0917 	101.9484 	99.7969 	103.9546 	106.5578 	105.1455 	101.3676 	98.6685 	94.4983 	93.2378 	94.1540 	93.9268 	84.9503 	77.1433 	81.0839 	82.6492 	78.7803 	80.0538 	81.0936 	80.0185 	79.5450 	83.2371 	86.9254 	87.0869 	85.7172 	83.8453 	81.9071 	80.2432 	77.0150 	73.3110 	70.8077 	69.2363 	67.2450 	65.3413 	64.8732 	62.8156 	61.2523 	60.8774 	60.5068 	60.0686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,RUB	71.8369 	72.5606 	74.9094 	75.9075 	76.2394 	73.9910 	69.9291 	68.8000 	69.2851 	63.1033 	62.5218 	67.9975 	72.1154 	74.3348 	82.4506 	72.4051 	70.3033 	58.2187 	70.9608 	59.7160 	48.0583 	47.9415 	48.0425 	44.2920 	43.4394 	41.3464 	40.1518 	40.3064 	39.9755 	39.8768 	39.5496 	42.0737 	41.1734 	40.2750 	39.9976 	41.7192 	39.5260 	38.5027 	41.2697 	43.5740 	44.7703 	43.7716 	44.4165 	35.9649 	36.4917 	36.9108 	36.3097 	35.6947 	35.0350 	34.8589 	34.4795 	34.2713 	34.1602 	34.1890 	33.8349 	34.1294 	34.7864 	35.3733 	36.5154 	36.9618 	35.6546 	34.8398 	35.7746 	35.4080 	34.2380 	35.0779 	33.9709 	31.7836 	31.0807 	28.7697 	27.0360 	26.7225 	26.1369 	25.3377 	26.3905 	24.2528 	25.1745 	26.4843 	28.1286 	27.3828 	26.0996 	26.2845 	26.3077 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,SEK	10.6622 	10.6191 	10.4187 	10.3204 	10.4055 	10.3303 	9.9712 	9.7930 	9.5568 	9.6918 	9.5063 	9.7574 	9.5106 	9.2782 	9.3267 	9.3022 	9.4293 	9.2995 	9.3800 	9.2718 	9.2052 	9.0517 	8.8569 	8.8575 	8.6798 	8.5652 	8.4965 	8.6230 	8.4354 	8.9133 	8.8529 	9.0910 	9.1451 	9.0153 	8.8642 	9.2139 	9.3804 	9.6313 	9.9464 	10.3509 	10.4241 	10.7806 	10.9410 	10.2335 	9.4738 	9.3517 	9.3996 	9.2899 	9.2639 	9.2573 	9.1894 	9.1350 	9.2304 	9.2979 	9.3525 	9.4731 	9.3658 	9.2083 	9.0736 	9.0128 	9.1581 	9.1450 	9.1843 	9.0093 	9.1631 	9.1425 	9.1822 	9.0946 	9.2301 	9.1584 	9.1589 	9.4810 	9.4067 	9.1261 	9.0038 	8.6025 	8.4040 	8.2758 	8.4955 	8.6477 	8.7101 	8.9038 	8.9751 	9.3751 	8.9457 	8.5969 	8.7148 	8.5818 	8.5563 	8.8066 	8.6671 	8.4274 	8.4526 	8.4474 	8.7282 	8.8108 	9.4279 	9.7144 	9.3880 	9.1439 	9.4137 	9.0758 	9.0069 	9.3640 	9.2141 	8.9329 	8.9531 	7.8867 	7.4102 	7.4057 	7.4195 	7.4589 	7.4485 	7.3960 	7.6162 	7.6632 	7.5596 	7.4409 	7.4145 	7.2054 	7.0475 	7.0311 	7.1139 	7.1861 	7.1486 	7.2522 	7.3842 	7.4207 	7.2567 	7.2447 	7.3139 	7.1777 	7.0554 	6.8978 	6.8409 	6.6665 	6.5839 	6.4892 	6.3389 	6.3641 	6.4555 	6.6041 	6.6229 	6.6787 	6.7203 	6.8717 	7.0226 	6.8545 	5.8509 	5.9174 	5.9461 	6.0130 	5.4753 	5.4339 	5.6085 	5.7603 	5.9075 	5.9053 	5.9497 	5.9074 	5.8494 	5.8270 	5.9017 	5.8314 	5.7230 	5.7061 	5.7365 	5.6087 	5.2152 	4.9323 	4.7259 	4.6838 	4.8553 	4.8897 	5.0417 	5.1651 	5.1579 	5.1081 	5.1325 	5.2088 	5.2697 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,SGD	1.5288 	1.5324 	1.5388 	1.5696 	1.5904 	1.5899 	1.6210 	1.5947 	1.5984 	1.5341 	1.5080 	1.5209 	1.5101 	1.5336 	1.5466 	1.5415 	1.5465 	1.4845 	1.5273 	1.6179 	1.6584 	1.7178 	1.7379 	1.7006 	1.6795 	1.6311 	1.6345 	1.5855 	1.5594 	1.6200 	1.6573 	1.7348 	1.7309 	1.7842 	1.7467 	1.7693 	1.7503 	1.7674 	1.9395 	2.0604 	2.0570 	2.0050 	1.9709 	1.9588 	2.1010 	2.1346 	2.1107 	2.1061 	2.0841 	2.0562 	2.0073 	2.0091 	2.0125 	1.9989 	1.9567 	2.0065 	2.0436 	2.0885 	2.1452 	2.1481 	2.0867 	2.0518 	2.1179 	2.0507 	1.9699 	1.9872 	1.8724 	1.7671 	1.7295 	1.6567 	1.6072 	1.6344 	1.5823 	1.5829 	1.6164 	1.5158 	1.5693 	1.6082 	1.6744 	1.7372 	1.7719 	1.8099 	1.9105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,THB	34.1496 	35.5053 	35.9188 	37.4665 	38.3580 	38.0437 	38.7942 	38.7837 	39.2014 	37.8005 	37.3896 	38.1833 	38.8832 	39.8231 	39.2820 	39.2408 	39.1915 	36.8000 	36.7655 	40.8780 	42.5627 	44.5102 	44.7221 	43.1513 	41.6751 	39.0307 	39.3613 	39.7781 	39.2068 	40.1013 	40.6300 	41.7910 	42.5742 	43.5924 	41.7712 	40.7276 	40.8246 	41.1515 	45.4722 	49.2213 	48.5752 	47.2936 	46.0377 	45.9038 	50.9595 	50.4368 	46.4606 	45.0968 	43.2200 	44.0106 	44.5377 	47.1087 	48.0151 	47.9807 	47.2730 	48.7796 	50.3751 	50.4965 	50.6223 	52.1912 	50.4781 	48.5219 	49.0151 	47.3051 	46.4673 	48.0154 	45.9381 	43.4020 	41.3742 	39.3019 	38.3536 	39.7635 	40.0162 	39.6368 	39.9388 	37.7071 	37.1089 	36.1292 	37.1601 	40.2786 	40.2263 	39.3043 	41.5688 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,TRY	6.3065 	6.6061 	6.1102 	6.2981 	6.5823 	5.2232 	4.6899 	4.4787 	4.1283 	3.9405 	3.9378 	3.5444 	3.3098 	3.2709 	3.2470 	3.1860 	3.1757 	2.9536 	2.7731 	2.8271 	2.8674 	2.8972 	3.0372 	2.7537 	2.6092 	2.4037 	2.3577 	2.3272 	2.2560 	2.3157 	2.3556 	2.4759 	2.4535 	2.2579 	2.1591 	1.9897 	1.9560 	1.9560 	2.0866 	2.2029 	2.1444 	2.1410 	2.1635 	2.0261 	1.8235 	1.9717 	1.8036 	1.7261 	1.7685 	1.8029 	1.8492 	1.8781 	1.9118 	1.8473 	1.6026 	1.6132 	1.6372 	1.7193 	1.7412 	1.8716 	1.8075 	1.7595 	1.6654 	1.7210 	1.5698 	1.7165 	1.7780 	1.6173 	1.6249 	1.3055 	1.1954 	1.3751 	1.2504 	1.0387 	0.7455 	0.5906 	0.5841 	0.5695 	0.5553 	0.5182 	0.4621 	0.4203 	0.3862 	0.3453 	0.3046 	0.2787 	0.2435 	0.2113 	0.1775 	0.1572 	0.1394 	0.1247 	0.1089 	0.0960 	0.0828 	0.0696 	0.0608 	0.0571 	0.0523 	0.0450 	0.0397 	0.0383 	0.0202 	0.0152 	0.0133 	0.0121 	0.0108 	0.0101 	0.0098 	0.0085 	0.0072 	0.0062 	0.0053 	0.0047 	0.0043 	0.0038 	0.0035 	0.0031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,TWD	34.6810 	34.9910 	35.0180 	35.2010 	35.6700 	35.4940 	36.0110 	35.4580 	35.5450 	33.3510 	33.0850 	34.2840 	35.4020 	36.5950 	36.4820 	35.7450 	35.5820 	34.0800 	35.5320 	38.5140 	39.7870 	41.2810 	41.4920 	40.2080 	39.5370 	39.0070 	38.9310 	37.7970 	37.2890 	37.9650 	38.9330 	40.7870 	41.2050 	41.5390 	40.0950 	41.2280 	41.2560 	40.5310 	44.1640 	47.7390 	46.8960 	45.1030 	44.2760 	43.4350 	46.8930 	47.5420 	47.2740 	46.9880 	45.2310 	44.6690 	43.1430 	42.3350 	41.7670 	40.4810 	38.8420 	39.7640 	39.4230 	39.5390 	41.3330 	42.6860 	41.5140 	40.2310 	41.7470 	40.4140 	38.5180 	39.4810 	37.2380 	34.8190 	33.4070 	31.6450 	30.7130 	30.9560 	30.8550 	29.2220 	30.0370 	28.1610 	28.1300 	28.6460 	30.1400 	32.9200 	33.5800 	34.5700 	36.6000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,USD	1.1119 	1.1237 	1.1358 	1.1414 	1.1629 	1.1915 	1.2292 	1.1774 	1.1746 	1.1021 	1.0648 	1.0789 	1.1166 	1.1292 	1.1020 	1.0953 	1.1117 	1.1053 	1.1261 	1.2498 	1.3256 	1.3711 	1.3696 	1.3610 	1.3242 	1.3062 	1.3206 	1.2967 	1.2502 	1.2814 	1.3108 	1.3482 	1.4127 	1.4391 	1.3680 	1.3583 	1.2910 	1.2708 	1.3829 	1.4779 	1.4303 	1.3632 	1.3029 	1.3180 	1.5050 	1.5622 	1.4976 	1.4486 	1.3738 	1.3481 	1.3106 	1.2887 	1.2743 	1.2582 	1.2023 	1.1884 	1.2199 	1.2594 	1.3113 	1.2977 	1.2220 	1.2046 	1.2497 	1.1890 	1.1248 	1.1372 	1.0731 	0.9994 	0.9838 	0.9188 	0.8766 	0.8959 	0.8903 	0.8725 	0.9232 	0.8683 	0.9052 	0.9332 	0.9865 	1.0380 	1.0486 	1.0569 	1.1216 	1.1770 	1.1177 	1.1004 	1.0868 	1.1234 	1.0933 	1.1435 	1.1790 	1.2619 	1.2742 	1.2545 	1.2873 	1.3174 	1.3124 	1.3310 	1.2733 	1.2402 	1.2268 	1.1634 	1.1252 	1.1400 	1.1503 	1.2068 	1.1905 	1.2681 	1.3859 	1.2718 	1.2626 	1.2545 	1.1768 	1.1876 	1.3413 	1.3666 	1.2965 	1.2227 	1.2055 	1.1279 	1.0785 	1.0743 	1.1262 	1.1703 	1.1136 	1.2163 	1.2335 	1.2141 	1.1284 	1.1498 	1.1246 	1.0382 	1.0127 	0.9588 	0.9229 	0.8529 	0.7847 	0.7260 	0.6845 	0.7321 	0.7686 	0.8248 	0.8317 	0.8439 	0.8607 	0.9112 	0.9479 	0.9336 	0.9506 	1.0019 	1.0363 	1.0893 	1.0329 	1.1151 	1.2329 	1.3421 	1.4232 	1.3911 	1.4111 	1.4046 	1.3892 	1.3321 	1.3536 	1.3418 	1.2816 	1.2356 	1.2374 	1.1737 	1.1432 	1.1282 	1.1196 	1.1137 	1.1017 	1.1067 	1.1502 	1.1761 	1.2040 	1.2974 	1.2903 	1.2121 	1.1924 	1.2127 	1.1535 	1.2445 	1.3020 	1.2243 	1.1561 	1.1065 	1.1200 	1.1337 	1.1269 	1.0783 	1.0508 	1.0336 	1.0284 
AVG,NAC,ZAR	16.2996 	16.1683 	15.9206 	16.2947 	16.3625 	15.0724 	14.7102 	16.0959 	15.4855 	14.5421 	14.0814 	15.0034 	15.6905 	16.9532 	17.4552 	15.5569 	14.4516 	13.3824 	13.2283 	14.0102 	14.2700 	14.4616 	14.8866 	13.8224 	13.2329 	12.3996 	11.8264 	11.2766 	10.3385 	10.4214 	10.1730 	10.9209 	10.0898 	9.7852 	9.5875 	9.3785 	9.4593 	9.5974 	10.3852 	11.0757 	11.1618 	11.5242 	12.9740 	13.0786 	11.7055 	12.1648 	11.2736 	9.8088 	9.7645 	9.5688 	9.4919 	9.4458 	9.1094 	8.1745 	7.4067 	7.7706 	7.9392 	8.0799 	7.8793 	7.8379 	7.7869 	7.9465 	8.4768 	8.0159 	8.3505 	8.8217 	8.9600 	9.6491 	10.2514 	9.5993 	10.1199 	9.0561 	7.4635 	7.0090 	7.2244 	6.5981 	6.3321 	6.4172 	6.2197 	6.3602 	6.3941 	6.4835 	6.8495 	6.8134 	6.9521 	5.7002 	5.3809 	5.3967 	5.0746 	5.1110 	5.3278 	5.8508 	5.6921 	5.4125 	4.8547 	4.8128 	4.7859 	4.8489 	4.5462 	4.3896 	4.4229 	4.2073 	3.8695 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,ALL	122.11 	122.65 	125.34 	123.42 	126.29 	125.93 	130.44 	132.95 	133.70 	132.59 	136.13 	135.23 	137.33 	137.33 	138.77 	137.28 	139.39 	140.29 	140.34 	140.14 	139.89 	140.26 	140.27 	140.20 	141.37 	140.96 	139.91 	139.59 	140.19 	138.17 	140.38 	138.93 	140.95 	141.41 	140.57 	138.77 	138.45 	136.45 	139.05 	137.96 	134.51 	130.76 	131.02 	123.80 	123.89 	122.05 	123.70 	121.78 	123.08 	121.83 	126.47 	123.85 	123.02 	123.27 	122.95 	122.58 	123.41 	123.92 	125.81 	126.35 	124.80 	123.06 	130.23 	134.32 	137.91 	135.22 	140.58 	140.18 	136.43 	138.74 	125.45 	120.73 	129.38 	126.06 	129.87 	132.57 	128.95 	133.70 	134.80 	135.80 	142.65 	141.40 	158.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,ARS	62.4212 	48.5926 	48.6476 	43.1299 	46.1252 	32.7123 	24.8046 	22.7027 	20.6930 	18.8184 	16.4871 	16.7918 	17.1377 	16.6141 	16.6659 	14.0953 	10.5577 	10.1679 	9.4832 	10.2800 	10.6716 	11.1064 	11.0348 	8.9900 	7.8228 	7.0315 	6.5572 	6.4881 	6.0655 	5.5988 	5.8366 	5.5670 	5.6773 	5.9315 	5.7528 	5.3100 	5.4094 	4.8225 	5.2204 	5.4800 	5.6300 	5.3500 	4.9400 	4.8000 	4.4600 	4.7700 	5.0000 	4.6300 	4.4700 	4.1600 	4.1400 	4.0500 	3.9300 	3.9300 	3.7300 	3.5900 	3.5000 	3.4900 	3.7900 	4.0500 	3.7202 	3.6042 	3.5068 	3.7312 	3.3910 	3.2056 	3.2522 	3.5394 	3.7024 	3.8504 	2.6390 	0.8800 	0.9146 	0.8479 	0.8828 	0.9290 	0.8765 	0.9554 	0.9552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,AUD	1.6126 	1.6244 	1.5821 	1.6220 	1.6048 	1.5787 	1.6036 	1.5346 	1.5075 	1.4851 	1.3982 	1.4596 	1.4657 	1.4929 	1.4807 	1.4897 	1.5939 	1.4550 	1.4154 	1.4829 	1.4442 	1.4537 	1.4941 	1.5423 	1.4486 	1.4171 	1.2308 	1.2712 	1.2396 	1.2339 	1.2836 	1.2723 	1.3874 	1.3485 	1.3736 	1.3136 	1.4070 	1.4403 	1.4741 	1.6008 	1.6596 	1.7359 	1.9216 	2.0274 	1.7739 	1.6371 	1.7334 	1.6757 	1.6073 	1.5885 	1.6484 	1.6691 	1.6992 	1.7117 	1.6997 	1.6109 	1.5828 	1.5885 	1.6763 	1.7459 	1.7212 	1.7554 	1.6052 	1.6802 	1.7101 	1.7116 	1.8076 	1.8556 	1.8101 	1.7702 	1.6382 	1.7280 	1.8420 	1.6735 	1.8158 	1.6770 	1.6180 	1.5894 	1.5811 	1.5422 	1.6395 	1.5598 	1.7060 	1.8993 	1.9701 	1.7747 	1.6232 	1.6910 	1.5426 	1.5148 	1.4865 	1.5735 	1.5841 	1.5932 	1.6413 	1.7653 	1.7459 	1.8883 	1.8462 	1.5857 	1.6770 	1.6450 	1.6448 	1.6455 	1.8290 	1.7407 	1.7003 	1.7595 	1.9615 	1.7976 	1.6174 	1.7635 	1.5400 	1.4790 	1.5486 	1.7682 	1.5926 	1.5607 	1.5996 	1.5152 	1.4215 	1.4017 	1.3460 	1.3722 	1.4066 	1.4397 	1.6888 	1.8052 	1.5853 	1.5724 	1.6261 	1.6108 	1.6382 	1.4481 	1.3138 	1.3019 	1.1706 	1.1010 	1.0372 	0.8588 	0.8864 	0.9340 	0.9189 	0.9206 	0.9578 	1.0197 	1.0691 	0.9869 	0.9801 	0.9396 	0.9473 	0.9620 	0.9337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,BAM	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
